player_name,team,league,age,minutes_played,progressive_passes_per90,progressive_pass_distance_per90,progressive_carries_per90,passes_into_final_third_per90,pass_completion_pct_medium,pass_completion_pct_long,passes_under_pressure_per90,aerial_duels_won_pct,tackles_per90,interceptions_per90,progressive_passes_per90_percentile,progressive_pass_distance_per90_percentile,progressive_carries_per90_percentile,passes_into_final_third_per90_percentile,pass_completion_pct_medium_percentile,pass_completion_pct_long_percentile,passes_under_pressure_per90_percentile,aerial_duels_won_pct_percentile,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled
Lisandro Martínez,Manchester United,Premier League,26,1280,5.4,410.2,1.8,4.1,91.2,74.5,9.8,61.5,2.1,1.6,76.7,75.0,79.2,81.7,55.0,66.7,90.0,40.0,0.7643979057591623,0.6974425661031642,0.6617647058823529,0.6285714285714284,0.625,0.5869565217391304,0.7543859649122808,0.2888086642599279
John Stones,Manchester City,Premier League,29,1420,6.1,445.0,2.3,5.2,94.8,82.1,11.2,64.0,1.6,1.2,90.0,95.0,96.7,98.3,96.7,100.0,100.0,63.3,0.9476439790575915,0.8482878196792372,0.906862745098039,0.942857142857143,0.9062499999999991,1.0000000000000004,1.0,0.3790613718411553
Alessandro Bastoni,Inter Milan,Serie A,24,2150,5.8,430.5,2.1,4.8,90.5,76.2,9.1,62.8,1.9,1.4,85.0,91.7,90.0,90.8,51.7,78.3,73.3,51.7,0.869109947643979,0.7854356306892067,0.8088235294117646,0.8285714285714284,0.5703124999999991,0.6793478260869565,0.631578947368421,0.33574007220216595
William Saliba,Arsenal,Premier League,23,3420,4.2,360.0,1.4,3.1,93.6,78.9,8.4,63.5,1.8,1.1,30.0,53.3,53.3,40.0,85.0,93.3,50.0,57.5,0.45026178010471196,0.47984395318595574,0.4656862745098038,0.34285714285714286,0.8124999999999991,0.8260869565217397,0.5087719298245614,0.36101083032491
Virgil van Dijk,Liverpool,Premier League,32,3180,5.0,480.0,0.9,3.6,92.1,81.5,7.6,81.2,1.4,1.5,61.7,100.0,18.3,55.0,65.0,98.3,20.0,100.0,0.6596858638743455,0.9999999999999998,0.22058823529411764,0.48571428571428565,0.6953124999999991,0.9673913043478266,0.368421052631579,1.0
Murillo,Nottingham Forest,Premier League,21,2800,3.8,395.0,1.6,2.8,84.5,68.2,10.4,58.2,2.2,1.8,17.5,69.2,65.0,23.3,6.7,15.8,95.8,20.0,0.3455497382198952,0.6315561335067186,0.5637254901960784,0.2571428571428571,0.10156249999999911,0.24456521739130466,0.8596491228070178,0.16967509025270777
Castello Lukeba,RB Leipzig,Bundesliga,21,2400,4.9,380.0,1.9,3.5,89.4,71.0,9.6,60.1,2.0,1.7,56.7,61.7,84.2,50.0,40.0,41.7,87.5,28.3,0.6335078534031415,0.566536627654963,0.7107843137254901,0.4571428571428572,0.484375,0.3967391304347827,0.7192982456140351,0.2382671480144407
Pau Cubarsí,Barcelona,La Liga,17,1560,6.3,460.8,1.7,5.4,93.1,79.2,10.8,54.0,1.7,1.3,100.0,96.7,69.2,100.0,81.7,95.0,98.3,6.7,1.0,0.916775032509753,0.6127450980392156,1.0,0.7734374999999991,0.8423913043478266,0.929824561403509,0.018050541516245522
Gonçalo Inácio,Sporting CP,Primeira Liga,22,2750,6.2,470.2,1.9,4.9,91.0,77.8,8.9,59.4,1.8,1.5,92.5,98.3,84.2,95.0,53.3,88.3,69.2,25.0,0.9738219895287958,0.9575205895101864,0.7107843137254901,0.8571428571428573,0.6093749999999991,0.7663043478260874,0.5964912280701755,0.21299638989169667
Jarrad Branthwaite,Everton,Premier League,21,3120,2.8,290.4,0.7,1.9,83.2,64.1,6.5,68.4,2.4,1.9,3.3,6.7,12.5,1.7,1.7,3.3,8.3,86.7,0.08376963350785338,0.17815344603381011,0.12254901960784309,0.0,0.0,0.02173913043478226,0.17543859649122817,0.5379061371841156
