player_name,team,league,age,minutes_played,progressive_passes_per90,progressive_pass_distance_per90,progressive_carries_per90,passes_into_final_third_per90,pass_completion_pct_medium,pass_completion_pct_long,passes_under_pressure_per90,aerial_duels_won_pct,tackles_per90,interceptions_per90
Lisandro Martínez,Manchester United,Premier League,26,1280,5.4,410.2,1.8,4.1,91.2,74.5,9.8,61.5,2.1,1.6
John Stones,Manchester City,Premier League,29,1420,6.1,445.0,2.3,5.2,94.8,82.1,11.2,64.0,1.6,1.2
Alessandro Bastoni,Inter Milan,Serie A,24,2150,5.8,430.5,2.1,4.8,90.5,76.2,9.1,62.8,1.9,1.4
William Saliba,Arsenal,Premier League,23,3420,4.2,360.0,1.4,3.1,93.6,78.9,8.4,63.5,1.8,1.1
Virgil van Dijk,Liverpool,Premier League,32,3180,5.0,480.0,0.9,3.6,92.1,81.5,7.6,81.2,1.4,1.5
Murillo,Nottingham Forest,Premier League,21,2800,3.8,395.0,1.6,2.8,84.5,68.2,10.4,58.2,2.2,1.8
Castello Lukeba,RB Leipzig,Bundesliga,21,2400,4.9,380.0,1.9,3.5,89.4,71.0,9.6,60.1,2.0,1.7
Pau Cubarsí,Barcelona,La Liga,17,1560,6.3,460.8,1.7,5.4,93.1,79.2,10.8,54.0,1.7,1.3
Gonçalo Inácio,Sporting CP,Primeira Liga,22,2750,6.2,470.2,1.9,4.9,91.0,77.8,8.9,59.4,1.8,1.5
Jarrad Branthwaite,Everton,Premier League,21,3120,2.8,290.4,0.7,1.9,83.2,64.1,6.5,68.4,2.4,1.9
Riccardo Calafiori,Bologna,Serie A,21,2450,5.2,390.5,2.2,4.0,89.8,73.4,9.4,67.2,2.1,1.8
Ousmane Diomande,Sporting CP,Primeira Liga,20,2200,4.6,370.0,2.0,3.2,92.4,75.0,8.7,66.5,1.9,1.3
Micky van de Ven,Tottenham,Premier League,22,2210,3.4,310.0,2.4,2.2,94.1,72.0,7.9,57.8,2.0,1.4
Jean-Clair Todibo,Nice,Ligue 1,24,2500,5.1,415.0,1.7,3.8,91.8,76.5,9.2,63.9,2.2,1.6
Harry Maguire,Manchester United,Premier League,31,1650,4.5,385.0,0.8,3.2,87.6,73.0,7.2,76.8,1.5,1.4
Kim Min-jae,Bayern Munich,Bundesliga,27,2100,5.3,420.0,1.2,3.9,93.0,78.0,8.8,68.0,2.3,2.1
Edmond Tapsoba,Bayer Leverkusen,Bundesliga,25,2350,5.7,435.0,1.8,4.4,92.5,77.2,9.5,61.2,1.7,1.4
Jonathan Tah,Bayer Leverkusen,Bundesliga,28,2600,4.7,390.0,0.9,3.0,94.5,81.0,8.0,72.5,1.6,1.5
Gabriel Magalhães,Arsenal,Premier League,26,3050,3.9,340.0,0.7,2.4,89.2,70.5,7.4,66.0,1.7,1.2
Marc Guéhi,Crystal Palace,Premier League,23,2200,4.0,330.0,1.1,2.6,88.5,69.8,8.1,60.5,1.9,1.5
Prospect CB 1,Stuttgart,Bundesliga,30,2194,4.88,428.5,1.18,3.01,94.5,75.8,7.6,65.8,1.61,1.26
Prospect CB 2,PSV,Eredivisie,30,1647,4.32,340.7,1.03,3.11,89.8,68.2,8.4,62.3,2.25,1.37
Prospect CB 3,Stuttgart,Ligue 1,26,3114,2.48,410.4,1.69,2.32,93.0,73.9,7.7,55.5,2.03,1.19
Prospect CB 4,Juventus,Eredivisie,27,2400,4.96,367.7,1.24,2.96,83.8,68.4,7.6,68.8,1.94,0.87
Prospect CB 5,Porto,Ligue 1,32,964,4.26,347.6,0.52,2.56,92.3,75.4,9.1,63.5,2.06,1.47
Prospect CB 6,Porto,Bundesliga,19,1402,3.3,306.2,1.71,4.28,88.7,77.0,8.7,58.6,1.94,1.86
Prospect CB 7,Stuttgart,Serie A,26,1106,3.94,357.3,0.59,4.03,92.2,72.1,7.5,53.5,1.48,1.62
Prospect CB 8,Stuttgart,Serie A,20,2719,5.12,374.8,1.04,3.61,89.3,76.8,7.3,60.5,1.64,0.96
Prospect CB 9,Girona,Ligue 1,26,2182,4.3,349.4,0.59,2.86,87.8,68.0,8.0,64.9,2.55,1.45
Prospect CB 10,Aston Villa,Eredivisie,18,1463,5.04,312.5,0.92,3.57,88.8,73.7,8.1,61.1,2.37,1.72
Prospect CB 11,Atalanta,Bundesliga,27,2595,6.24,415.4,1.19,2.65,91.5,68.9,8.7,62.4,2.29,1.28
Prospect CB 12,Aston Villa,Premier League,29,1086,5.84,399.3,1.3,2.91,91.3,65.9,8.9,57.0,2.05,1.35
Prospect CB 13,Aston Villa,Serie A,29,2869,5.03,304.6,1.41,4.25,83.4,72.9,8.5,67.2,1.31,1.0
Prospect CB 14,Real Sociedad,Bundesliga,25,3001,4.86,414.8,1.41,3.88,89.6,65.9,9.6,70.5,2.09,1.11
Prospect CB 15,Aston Villa,Eredivisie,22,1715,4.99,417.1,1.51,3.95,86.0,72.7,6.4,57.9,2.15,1.33
Prospect CB 16,Feyenoord,Serie A,19,1697,5.53,412.7,1.11,3.6,96.0,71.8,8.2,63.6,2.04,1.3
Prospect CB 17,Porto,Ligue 1,25,1201,3.89,395.0,1.82,2.93,85.8,69.4,9.1,63.1,2.05,1.93
Prospect CB 18,Monaco,La Liga,32,2586,4.35,308.6,1.48,3.65,92.8,77.3,6.4,56.9,2.01,1.55
Prospect CB 19,Porto,Ligue 1,29,2429,3.8,354.3,0.52,4.8,84.8,78.0,8.4,63.3,1.94,0.84
Prospect CB 20,Atalanta,Premier League,25,2495,4.79,302.8,2.49,4.67,93.8,76.1,8.2,65.2,2.22,1.21
Prospect CB 21,Real Sociedad,Bundesliga,27,2874,3.64,334.0,1.23,2.57,87.7,72.8,8.0,67.5,1.67,1.34
Prospect CB 22,Porto,Ligue 1,22,1796,6.21,406.5,0.54,2.81,93.4,68.5,8.8,67.1,1.43,1.38
Prospect CB 23,Atalanta,Liga Portugal,21,2212,6.2,337.6,1.14,3.62,96.0,72.4,9.5,71.8,1.94,1.68
Prospect CB 24,Girona,Bundesliga,19,2468,6.22,272.2,1.22,3.67,90.0,68.9,7.9,59.5,1.56,1.65
Prospect CB 25,Girona,La Liga,22,2549,5.11,373.8,1.71,3.7,86.1,69.2,9.2,66.2,1.79,1.44
Prospect CB 26,Brighton,Premier League,24,3043,4.79,350.9,1.19,4.08,91.9,76.1,9.9,62.6,2.07,1.31
Prospect CB 27,Aston Villa,Bundesliga,29,975,4.65,354.4,1.2,4.82,86.0,71.9,8.5,57.7,1.22,1.48
Prospect CB 28,Atalanta,Liga Portugal,26,1962,4.29,319.6,1.34,2.66,92.4,71.3,7.1,60.6,1.97,1.23
Prospect CB 29,Aston Villa,Ligue 1,23,2442,3.0,342.7,1.74,3.01,89.2,66.1,8.8,53.7,1.92,1.34
Prospect CB 30,Girona,Bundesliga,23,2710,4.58,426.4,1.73,3.07,88.9,67.0,8.2,60.8,1.93,1.15
