player_name,team,league,position,primary_role,age,minutes_played,psxg_net_per90,cross_stop_pct,def_actions_outside_pen_per90,pass_launch_pct,progressive_passes_per90,progressive_pass_distance_per90,progressive_carries_per90,passes_into_final_third_per90,passes_under_pressure_per90,pass_completion_pct,tackles_interceptions_per90,aerial_duels_won_pct,npxg_per90,xag_per90,touches_att_pen_per90,take_on_success_pct
Alisson,Liverpool,Premier League,GK,Sweeper Keeper,31,2520,0.22,9.4,1.85,32.1,2.1,140.0,0.2,0.8,4.2,85.1,0.4,60.0,0.0,0.02,0.1,0.0
Ederson,Manchester City,Premier League,GK,Ball-Playing Keeper,30,2900,0.05,5.1,1.45,24.5,3.8,220.0,0.4,1.4,5.1,88.4,0.3,50.0,0.0,0.05,0.1,0.0
David Raya,Arsenal,Premier League,GK,Sweeper Keeper,28,2880,0.12,11.2,1.6,36.8,2.9,185.0,0.3,1.1,4.8,81.2,0.5,55.0,0.0,0.01,0.1,0.0
André Onana,Manchester United,Premier League,GK,Ball-Playing Keeper,28,3420,0.15,6.2,1.1,42.0,3.2,210.0,0.2,0.9,5.5,78.5,0.6,52.0,0.0,0.01,0.1,0.0
Gregor Kobel,Borussia Dortmund,Bundesliga,GK,Traditional Stopper,26,2430,0.28,5.8,0.95,45.1,1.8,110.0,0.1,0.5,3.8,74.2,0.3,58.0,0.0,0.0,0.1,0.0
Guglielmo Vicario,Tottenham,Premier League,GK,Shot Stopper,27,3420,0.24,6.0,1.7,31.0,2.4,150.0,0.3,0.7,5.2,80.5,0.4,56.0,0.0,0.02,0.1,0.0
Diogo Costa,Porto,Liga Portugal,GK,Sweeper Keeper,24,2970,0.18,8.5,1.5,34.0,2.7,175.0,0.3,1.0,4.5,83.0,0.4,62.0,0.0,0.03,0.1,0.0
Bart Verbruggen,Brighton,Premier League,GK,Ball-Playing Keeper,21,1890,0.08,6.8,1.35,26.2,3.4,195.0,0.4,1.2,5.0,86.5,0.3,53.0,0.0,0.02,0.1,0.0
Lisandro Martínez,Manchester United,Premier League,CB,Ball-Playing CB,26,1280,0.0,0.0,0.0,0.0,5.4,410.2,1.8,4.1,9.8,88.5,3.7,61.5,0.04,0.06,0.6,62.5
John Stones,Manchester City,Premier League,CB,Ball-Playing CB,29,1420,0.0,0.0,0.0,0.0,6.1,445.0,2.3,5.2,11.2,93.1,2.8,64.0,0.06,0.09,1.2,70.0
Alessandro Bastoni,Inter Milan,Serie A,CB,Ball-Playing CB,24,2150,0.0,0.0,0.0,0.0,5.8,430.5,2.1,4.8,9.1,87.2,3.3,62.8,0.05,0.14,1.1,60.0
William Saliba,Arsenal,Premier League,CB,Complete Stopper,23,3420,0.0,0.0,0.0,0.0,4.2,360.0,1.4,3.1,8.4,92.4,2.9,63.5,0.05,0.03,0.8,68.0
Virgil van Dijk,Liverpool,Premier League,CB,Aerial Dominant CB,32,3180,0.0,0.0,0.0,0.0,5.0,480.0,0.9,3.6,7.6,91.2,2.9,81.2,0.08,0.04,1.4,55.0
Jean-Clair Todibo,West Ham,Premier League,CB,Ball-Playing CB,24,2500,0.0,0.0,0.0,0.0,5.1,415.0,1.7,3.8,9.2,89.5,3.8,63.9,0.03,0.05,0.7,66.0
